Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[80, 80]",0.001,0.0001,0.9,0.243603±0.013059,0.340719±0.054453,0.364392
"[80, 80]",0.005,1e-05,0.5,0.244428±0.011813,0.340834±0.056266,0.368811
"[100, 100]",0.001,1e-05,0.99,0.168432±0.008593,0.341837±0.067844,0.336964
"[60, 60]",0.0001,6e-05,0.99,0.256655±0.013048,0.341860±0.055097,0.35359
"[100, 100]",0.0006,1e-05,0.9,0.257246±0.011886,0.342477±0.052193,0.351787
"[120, 120]",0.001,6e-05,0.99,0.169678±0.008555,0.343028±0.057090,0.33663
"[60, 60]",0.0001,0.0001,0.99,0.259309±0.013057,0.344379±0.054916,0.356251
"[120, 120]",0.0006,0.0001,0.9,0.256518±0.014034,0.344901±0.062471,0.382986
"[80, 80]",0.005,6e-05,0.5,0.248648±0.011815,0.344957±0.056294,0.373094
"[80, 80]",0.001,0.0001,0.99,0.188220±0.007703,0.345664±0.046271,0.338753
"[100, 100]",0.001,6e-05,0.99,0.174921±0.008323,0.346841±0.067667,0.342897
"[100, 100]",0.0006,6e-05,0.9,0.262402±0.011891,0.347611±0.052162,0.356946
"[80, 80]",0.005,0.0001,0.5,0.252031±0.011818,0.348394±0.056282,0.376503
"[120, 120]",0.001,0.0001,0.99,0.175975±0.008264,0.349164±0.057143,0.344481
"[100, 100]",0.0006,0.0001,0.9,0.266535±0.011891,0.351744±0.052226,0.361084
"[80, 80]",0.0001,1e-05,0.99,0.246500±0.013751,0.351842±0.048847,0.378254
"[100, 100]",0.001,0.0001,0.99,0.180898±0.008336,0.353168±0.067513,0.347393
"[80, 80]",0.0001,6e-05,0.99,0.250817±0.013677,0.355693±0.048380,0.382617
"[80, 80]",0.0001,0.0001,0.99,0.254215±0.013686,0.358988±0.048446,0.386063
"[60, 60]",0.0006,1e-05,0.9,0.276506±0.013374,0.361127±0.065492,0.354022
"[60, 60]",0.0006,6e-05,0.9,0.279713±0.013374,0.364323±0.065474,0.35722
"[60, 60]",0.005,1e-05,0.99,0.190793±0.005210,0.365892±0.074399,0.347177
"[60, 60]",0.0006,0.0001,0.9,0.282284±0.013369,0.366890±0.065480,0.359756
"[80, 80]",0.0006,1e-05,0.9,0.275607±0.014158,0.374427±0.061546,0.403235
"[80, 80]",0.0006,6e-05,0.9,0.279811±0.014154,0.378644±0.061557,0.407464
"[80, 80]",0.0006,0.0001,0.9,0.283170±0.014149,0.382004±0.061585,0.410845
"[100, 100]",0.005,1e-05,0.99,0.189613±0.042281,0.399037±0.074278,0.318836
"[100, 100]",0.005,0.0001,0.99,0.215361±0.036057,0.408721±0.057836,0.371824
"[60, 60]",0.005,6e-05,0.99,0.232406±0.021104,0.427499±0.084014,0.372274
"[100, 100]",0.005,6e-05,0.99,0.199736±0.034393,0.432059±0.095841,0.346222
"[60, 60]",0.005,0.0001,0.99,0.244180±0.014609,0.439056±0.084017,0.396746
"[120, 120]",0.005,6e-05,0.99,0.191236±0.046572,0.441496±0.071203,0.345011
"[80, 80]",0.005,0.0001,0.99,0.295518±0.114342,0.471026±0.114661,0.391774
"[120, 120]",0.005,1e-05,0.99,0.178382±0.060784,0.484526±0.140911,0.472472
"[100, 100]",0.001,1e-05,0.5,0.415660±0.010384,0.499851±0.072723,0.52822
"[100, 100]",0.001,6e-05,0.5,0.420794±0.010385,0.504985±0.072722,0.533356
"[80, 80]",0.005,1e-05,0.99,0.297220±0.101451,0.507972±0.140757,0.357796
"[100, 100]",0.001,0.0001,0.5,0.424902±0.010384,0.509095±0.072724,0.537466
"[120, 120]",0.001,1e-05,0.5,0.424354±0.016773,0.517734±0.065568,0.626025
"[120, 120]",0.001,6e-05,0.5,0.430492±0.016773,0.523873±0.065567,0.632166
"[120, 120]",0.001,0.0001,0.5,0.435245±0.016572,0.528635±0.065809,0.63708
"[80, 80]",0.005,6e-05,0.99,0.327653±0.139844,0.538634±0.166277,0.347283
"[120, 120]",0.005,0.0001,0.99,0.273587±0.138659,0.568174±0.238535,0.682449
"[100, 100]",0.0006,1e-05,0.5,0.560727±0.014189,0.660395±0.098017,0.702022
"[100, 100]",0.0006,6e-05,0.5,0.565848±0.014189,0.665516±0.098018,0.707144
"[100, 100]",0.0006,0.0001,0.5,0.569944±0.014189,0.669615±0.098017,0.711241
"[80, 80]",0.001,1e-05,0.5,0.573109±0.023295,0.684450±0.071670,0.83982
"[100, 100]",0.0001,1e-05,0.9,0.583953±0.020582,0.686281±0.089276,0.751835
"[80, 80]",0.001,6e-05,0.5,0.577274±0.023293,0.688616±0.071671,0.843981
"[100, 100]",0.0001,6e-05,0.9,0.589069±0.020582,0.691398±0.089280,0.75695
"[80, 80]",0.001,0.0001,0.5,0.580610±0.023293,0.691950±0.071671,0.847341
