Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss
"[40, 40]",0.008,0.0001,0.5,0.170601±0.003516,0.542562±0.022551
"[40, 40]",0.0005,1e-05,0.5,0.477327±0.016737,0.542950±0.042067
"[20, 20]",0.0001,1e-05,0.9,0.479194±0.015746,0.543161±0.103821
"[30, 30]",0.0001,0.0001,0.9,0.471929±0.006434,0.543484±0.063760
"[50, 50]",0.008,1e-05,0.5,0.132869±0.011679,0.544264±0.034071
"[40, 40]",0.001,1e-05,0.9,0.157002±0.015369,0.545189±0.104094
"[20, 20]",0.008,0.0001,0.5,0.193459±0.012604,0.548730±0.035851
"[40, 40]",0.008,6e-05,0.5,0.154261±0.013198,0.549533±0.055583
"[30, 30]",0.0005,0.0001,0.5,0.491741±0.009559,0.550393±0.037028
"[20, 20]",0.0005,1e-05,0.5,0.500065±0.022831,0.553128±0.041606
"[50, 50]",0.0005,6e-05,0.5,0.499886±0.016241,0.553553±0.070298
"[40, 40]",0.0005,6e-05,0.5,0.495934±0.010521,0.554573±0.050391
"[40, 40]",0.008,1e-05,0.5,0.148867±0.009634,0.556212±0.038233
"[30, 30]",0.001,0.0001,0.9,0.180863±0.020773,0.558975±0.057119
"[30, 30]",0.008,1e-05,0.5,0.146382±0.008862,0.559836±0.089703
"[50, 50]",0.0005,1e-05,0.5,0.491804±0.016414,0.559922±0.021141
"[50, 50]",0.0005,0.0001,0.5,0.486267±0.020237,0.561527±0.094264
"[50, 50]",0.0001,6e-05,0.99,0.160016±0.016222,0.562676±0.029173
"[20, 20]",0.0005,0.0001,0.5,0.495944±0.022882,0.564680±0.052473
"[30, 30]",0.008,1e-05,0.5,0.158531±0.013972,0.564967±0.052327
"[40, 40]",0.0001,6e-05,0.99,0.155520±0.008328,0.565513±0.081023
"[40, 40]",0.008,1e-05,0.5,0.136310±0.008029,0.566873±0.048276
"[20, 20]",0.0005,6e-05,0.5,0.509565±0.008486,0.567420±0.031201
"[50, 50]",0.008,6e-05,0.5,0.146422±0.011383,0.571259±0.096458
