Hidden Sizes,Learning Rate,L2 Lambda,Momentum,Train Loss,Validation Loss,Test Loss
"[80, 80]",0.001,0.0001,0.9,1.365693±0.039565,1.501148±0.301504,1.178038
"[100, 100]",0.0001,1e-05,0.99,1.438407±0.056342,1.587332±0.279462,1.313313
"[100, 100]",0.0001,6e-05,0.99,1.444839±0.056320,1.593766±0.279450,1.319792
"[100, 100]",0.0001,0.0001,0.99,1.449984±0.056301,1.598911±0.279440,1.324975
"[120, 120]",0.005,1e-05,0.5,1.476663±0.042271,1.608042±0.301533,1.286029
"[120, 120]",0.005,6e-05,0.5,1.483844±0.042269,1.615223±0.301528,1.293249
"[120, 120]",0.005,0.0001,0.5,1.489588±0.042268,1.620968±0.301524,1.299024
"[80, 80]",0.0001,1e-05,0.99,1.486597±0.069566,1.642254±0.341287,1.261523
"[80, 80]",0.0001,6e-05,0.99,1.492249±0.069542,1.647909±0.341273,1.267246
"[80, 80]",0.0001,0.0001,0.99,1.496770±0.069522,1.652431±0.341261,1.271824
"[60, 60]",0.001,1e-05,0.9,1.511724±0.074019,1.668117±0.330096,1.31518
"[60, 60]",0.001,6e-05,0.9,1.516470±0.073995,1.672867±0.330090,1.319981
"[60, 60]",0.001,0.0001,0.9,1.520266±0.073975,1.676666±0.330085,1.323822
"[100, 100]",0.005,1e-05,0.5,1.591551±0.053601,1.737281±0.316480,1.430251
"[100, 100]",0.005,6e-05,0.5,1.597795±0.053588,1.743526±0.316475,1.436539
"[100, 100]",0.005,0.0001,0.5,1.602790±0.053577,1.748522±0.316470,1.441569
"[80, 80]",0.005,1e-05,0.5,1.635512±0.057932,1.783258±0.372372,1.395566
"[80, 80]",0.005,6e-05,0.5,1.640928±0.057921,1.788675±0.372365,1.401041
"[80, 80]",0.005,0.0001,0.5,1.645260±0.057911,1.793008±0.372360,1.40542
"[120, 120]",0.0006,1e-05,0.9,1.878977±0.068698,2.037153±0.394203,1.588781
"[120, 120]",0.0006,6e-05,0.9,1.886059±0.068693,2.044236±0.394201,1.595901
"[60, 60]",0.0001,1e-05,0.99,1.853448±0.116394,2.046824±0.456258,1.601137
"[120, 120]",0.0006,0.0001,0.9,1.891724±0.068689,2.049902±0.394199,1.601596
"[60, 60]",0.0001,6e-05,0.99,1.858244±0.116347,2.051623±0.456245,1.606004
"[60, 60]",0.0001,0.0001,0.99,1.862081±0.116310,2.055460±0.456235,1.609898
"[60, 60]",0.005,1e-05,0.5,1.949730±0.107474,2.138014±0.478521,1.678979
"[60, 60]",0.005,6e-05,0.5,1.954316±0.107447,2.142604±0.478518,1.683624
"[60, 60]",0.005,0.0001,0.5,1.957984±0.107425,2.146275±0.478516,1.687339
"[100, 100]",0.0006,1e-05,0.9,2.067559±0.088660,2.244189±0.446050,1.858782
"[100, 100]",0.0006,6e-05,0.9,2.073685±0.088644,2.250315±0.446047,1.864951
"[100, 100]",0.0006,0.0001,0.9,2.078585±0.088631,2.255216±0.446045,1.869885
"[80, 80]",0.0006,1e-05,0.9,2.160461±0.086864,2.328188±0.511802,1.881237
"[80, 80]",0.0006,6e-05,0.9,2.165745±0.086849,2.333475±0.511799,1.88658
"[80, 80]",0.0006,0.0001,0.9,2.169973±0.086837,2.337703±0.511797,1.890853
"[60, 60]",0.0006,1e-05,0.9,2.817178±0.061571,3.010976±0.646061,2.382977
"[60, 60]",0.0006,6e-05,0.9,2.821586±0.061546,3.015384±0.646058,2.387444
"[60, 60]",0.0006,0.0001,0.9,2.825111±0.061525,3.018909±0.646055,2.391018
"[100, 100]",0.001,1e-05,0.5,6.507371±0.146932,6.688713±2.113154,6.788099
"[100, 100]",0.001,6e-05,0.5,6.513110±0.146932,6.694453±2.113164,6.793879
"[100, 100]",0.001,0.0001,0.5,6.517701±0.146932,6.699045±2.113171,6.798504
"[120, 120]",0.001,1e-05,0.5,6.650286±0.214617,6.846768±2.095656,6.547641
"[120, 120]",0.001,6e-05,0.5,6.657003±0.214607,6.853486±2.095666,6.554402
"[120, 120]",0.001,0.0001,0.5,6.662376±0.214599,6.858860±2.095674,6.559811
"[80, 80]",0.001,1e-05,0.5,10.608502±0.218470,10.832696±2.987327,11.190775
"[80, 80]",0.001,6e-05,0.5,10.613199±0.218466,10.837393±2.987332,11.195511
"[80, 80]",0.001,0.0001,0.5,10.616956±0.218462,10.841151±2.987336,11.199299
"[60, 60]",0.001,1e-05,0.5,13.289266±0.275318,13.504245±3.379453,14.438306
"[60, 60]",0.001,6e-05,0.5,13.292932±0.275329,13.507911±3.379456,14.442005
"[60, 60]",0.001,0.0001,0.5,13.295864±0.275337,13.510844±3.379460,14.444965
"[100, 100]",0.0001,1e-05,0.9,14.325977±0.325154,14.535043±3.569356,15.595755
"[100, 100]",0.0001,6e-05,0.9,14.331462±0.325165,14.540528±3.569360,15.601265
"[100, 100]",0.0001,0.0001,0.9,14.335850±0.325173,14.544916±3.569362,15.605673
"[100, 100]",0.0006,1e-05,0.5,15.258128±0.358777,15.468207±3.679493,16.608021
"[100, 100]",0.0006,6e-05,0.5,15.263586±0.358788,15.473666±3.679496,16.613503
"[100, 100]",0.0006,0.0001,0.5,15.267953±0.358797,15.478032±3.679499,16.617888
"[120, 120]",0.0001,1e-05,0.9,15.277653±0.308769,15.506380±3.634001,16.339578
"[120, 120]",0.0001,6e-05,0.9,15.284109±0.308777,15.512837±3.634003,16.346062
"[120, 120]",0.0001,0.0001,0.9,15.289275±0.308783,15.518002±3.634005,16.351249
"[120, 120]",0.0006,1e-05,0.5,16.225524±0.334773,16.454694±3.740530,17.380956
"[120, 120]",0.0006,6e-05,0.5,16.231954±0.334782,16.461125±3.740532,17.387411
"[120, 120]",0.0006,0.0001,0.5,16.237098±0.334790,16.466269±3.740534,17.392576
"[80, 80]",0.0001,1e-05,0.9,19.982802±0.485826,20.222659±4.047523,21.19898
"[80, 80]",0.0001,6e-05,0.9,19.987193±0.485840,20.227050±4.047523,21.203395
"[80, 80]",0.0001,0.0001,0.9,19.990705±0.485850,20.230562±4.047523,21.206927
"[80, 80]",0.0006,1e-05,0.5,20.801227±0.535423,21.042004±4.113864,22.081339
"[80, 80]",0.0006,6e-05,0.5,20.805594±0.535435,21.046371±4.113865,22.085729
"[80, 80]",0.0006,0.0001,0.5,20.809087±0.535445,21.049864±4.113865,22.089241
"[60, 60]",0.0001,1e-05,0.9,21.730765±0.673336,21.950912±4.247889,23.567115
"[60, 60]",0.0001,6e-05,0.9,21.734141±0.673346,21.954288±4.247890,23.570508
"[60, 60]",0.0001,0.0001,0.9,21.736841±0.673354,21.956988±4.247890,23.573222
"[60, 60]",0.0006,1e-05,0.5,22.433079±0.715115,22.654519±4.302395,24.310697
"[60, 60]",0.0006,6e-05,0.5,22.436434±0.715124,22.657874±4.302396,24.314067
"[60, 60]",0.0006,0.0001,0.5,22.439117±0.715131,22.660558±4.302396,24.316764
"[120, 120]",0.0001,1e-05,0.5,33.895432±1.203940,34.101174±4.696591,35.245531
